"weight","queue size","id","waiting time","duration","total request","priority","completed jobs"
1.5842033912570784E-6,8114,5224,130.59915,62.62884222011481,429,3,8
1.5841637393579429E-6,8113,2212,160.99869,98.25837112609857,84,2,40
1.5864825351872653E-6,8112,2607,157.19875,15.792337469968112,235,2,40
1.5858109704779925E-6,8111,1217,171.39853,7.194680164097004,530,2,25
1.5852054231480634E-6,8110,7792,105.19954,95.76052295276045,390,3,5
1.5866893145703056E-6,8109,9370,89.59978,71.96264484729964,42,2,79
1.582447480587596E-6,8108,4474,138.79903,27.889196706923784,100,1,30
1.5825817908372719E-6,8107,5789,125.799225,53.231303855545384,38,1,65
1.5786332000663766E-6,8106,7251,111.19945,81.7234448238647,45,2,80
1.5800742332032783E-6,8105,1764,166.3986,9.14707665701987,599,3,32
1.5783940572942992E-6,8104,6080,122.99927,0.7056075601937609,905,3,91
1.581198209785375E-6,8103,5646,127.5992,11.0537647520292,72,1,95
1.580282396193808E-6,8102,1589,168.39857,8.158574899591917,465,2,27
1.579886941988081E-6,8101,6675,117.59935,51.49259404558574,221,2,12
1.57973569504907E-6,8100,843,176.19846,99.61626268172972,120,3,49
1.5846039401378181E-6,8099,7798,106.39952,51.435747238885504,495,1,1
1.5808617971227336E-6,8098,9522,88.99979,97.84614179380476,68,2,30
1.5796485913096865E-6,8097,5192,132.79912,41.69408116653519,853,3,4
1.5788190159161835E-6,8096,8706,97.39966,12.689008521616909,397,1,5
1.580384195846633E-6,8095,5318,131.59914,26.116684354976584,354,3,23
1.5773297155213647E-6,8094,6602,118.79933,59.82797344862522,90,3,77
1.5757449850920283E-6,8093,2675,158.39873,24.853813671108686,229,3,55
1.5681216432402864E-6,8092,806,177.39844,59.900159579610595,233,2,15
1.5639719535797064E-6,8091,1517,170.39854,94.62172582268614,297,3,13
1.5637556317576327E-6,8090,9713,87.9998,6.989349672348298,414,3,36
1.5647453819872002E-6,8089,9898,86.399826,27.454314599312248,617,1,1
1.5627963253903899E-6,8088,2991,155.79877,52.4931024459782,253,2,13
1.5638765195117411E-6,8087,2638,159.39871,50.12425207634823,149,3,58
1.5631478248002593E-6,8086,3518,150.59885,50.586305020857736,100,3,97
